address_centr,LAT_LON_centr
"southern pines, NC, USA","(35.1740471, -79.3922539)"
"spokane valley, WA, USA","(47.6571104, -117.2613936)"
"los angeles, CA, USA","(34.0536909, -118.242766)"
"dallas, TX, USA","(32.7762719, -96.7968559)"
"philadelphia, PA, USA","(39.9527237, -75.1635262)"
"poinciana, FL, USA","(28.1743275, -81.49322346187505)"
"mason city, IA, USA","(43.1524574, -93.2017941)"
"houston, TX, USA","(29.7589382, -95.3676974)"
"flushing, NY, USA","(40.7654301, -73.8174291)"
"pembroke pines, FL, USA","(26.0061943, -80.2872086)"
"eugene, OR, USA","(44.0505054, -123.0950506)"
"fort lauderdale, FL, USA","(26.1223084, -80.1433786)"
"new york, NY, USA","(40.7127281, -74.0060152)"
"tomball, TX, USA","(30.0971621, -95.6160549)"
"palmdale, CA, USA","(34.5793131, -118.11711)"
"bend, OR, USA","(44.0581728, -121.3153096)"
"miami beach, FL, USA","(25.7929198, -80.1353006)"
"spring, TX, USA","(30.0795707, -95.4187924)"
"killeen, TX, USA","(31.1171441, -97.727796)"
"washington, DC, USA","(38.8950368, -77.0365427)"
"davie, FL, USA","(26.07441465, -80.28402569275804)"
"brooklyn, NY, USA","(40.6526006, -73.9497211)"
"tampa, FL, USA","(27.9477595, -82.458444)"
"pt saint lucie, FL, USA","(27.2939333, -80.3503283)"
"north miami beach, FL, USA","(25.9331488, -80.1625463)"
"jacksonville, FL, USA","(30.3321838, -81.655651)"
"charlotte, NC, USA","(35.2272086, -80.8430827)"
"fresno, CA, USA","(36.7394421, -119.78483)"
"miami, FL, USA","(25.7741728, -80.19362)"
"weston, FL, USA","(26.1003392, -80.399513)"
"las vegas, NV, USA","(36.1672559, -115.148516)"
"sylmar, CA, USA","(34.3076252, -118.4492148)"
"tyler, TX, USA","(30.7563939, -94.3984613)"
"fort worth, TX, USA","(32.753177, -97.3327459)"
"beechhurst, NY, USA","(40.7914903, -73.8045781)"
"portland, OR, USA","(45.5202471, -122.674194)"
"hapeville, GA, USA","(33.660109, -84.4102046)"
"woodway, WA, USA","(47.7900365, -122.382362)"
"durham, NC, USA","(35.996653, -78.9018053)"
"hernando beach, FL, USA","(28.4767735, -82.65917292611684)"
"temple terrace, FL, USA","(28.0352964, -82.3892596)"
"plantation, FL, USA","(27.0637262, -82.3651631)"
"atlanta, GA, USA","(33.7489924, -84.3902644)"
"san antonio, TX, USA","(29.4246002, -98.4951405)"
"chicago, IL, USA","(41.8755616, -87.6244212)"
"seattle, WA, USA","(47.6038321, -122.330062)"
"port charlotte, FL, USA","(26.982419999999998, -82.10688734598534)"
"saint johns, FL, USA","(29.9032284, -81.4145468)"
"kissimmee, FL, USA","(28.2918995, -81.4075838)"
"spokane, WA, USA","(47.6571934, -117.42351)"
"the woodlands, TX, USA","(30.1734194, -95.504686)"
"port saint lucie, FL, USA","(27.2939333, -80.3503283)"
"panama city beach, FL, USA","(30.1765914, -85.805386)"
"kew gardens, NY, USA","(40.7139415, -73.830742)"
"bloomington, IL, USA","(40.4797828, -88.9939147)"
"orlando, FL, USA","(28.5421109, -81.3790304)"
"palm coast, FL, USA","(29.5541432, -81.2207673)"
"burien, WA, USA","(47.469918, -122.3485274)"
"mint hill, NC, USA","(35.1735388, -80.6570377)"
"lauderdale lakes, FL, USA","(26.1667184, -80.2085565)"
"lauderhill, FL, USA","(26.157597600000003, -80.22537761054471)"
"columbus, GA, USA","(32.4610708, -84.9880449)"
"valley view, OH, USA","(41.3878312, -81.6045685)"
"lakeway, TX, USA","(30.3644888, -97.9875325)"
"coral gables, FL, USA","(25.7331105, -80.2585107)"
"columbus, IN, USA","(39.2014405, -85.9213796)"
"westlake, OH, USA","(41.4553232, -81.9179174)"
"north hollywood, CA, USA","(34.1649502, -118.374752)"
"mckinney, TX, USA","(33.1976496, -96.6154471)"
"san jose, CA, USA","(37.3361663, -121.890591)"
"bayside, NY, USA","(40.7684351, -73.7770774)"
"cape coral, FL, USA","(26.5625742, -81.9438802)"
"huntington beach, CA, USA","(33.6783336, -118.0000166)"
"austin, TX, USA","(30.2711286, -97.7436995)"
"nashville, TN, USA","(36.1622767, -86.7742984)"
"chattanooga, TN, USA","(35.0457219, -85.3094883)"
"west valley city, UT, USA","(40.6967254, -111.986821)"
"indianapolis, IN, USA","(39.7683331, -86.1583502)"
"detroit, MI, USA","(42.3315509, -83.0466403)"
"adel, GA, USA","(31.1371358, -83.4234936)"
"jamaica, NY, USA","(40.7029134, -73.8006429)"
"hollywood, FL, USA","(26.0112014, -80.1494901)"
"el paso, TX, USA","(31.7550511, -106.488234)"
"st petersburg, FL, USA","(27.7700475, -82.6359078)"
"saint pete beach, FL, USA","(27.7253065, -82.741212)"
"college station, TX, USA","(30.6183939, -96.3455991)"
"ocala, FL, USA","(29.1871986, -82.1400923)"
"sacramento, CA, USA","(38.5810606, -121.493895)"
"cleveland, OH, USA","(41.4996574, -81.6936772)"
"grand prairie, TX, USA","(32.7459645, -96.9977846)"
"clearwater, FL, USA","(27.9658533, -82.8001026)"
"reno, NV, USA","(39.5261206, -119.8126581)"
"bronx, NY, USA","(40.8466508, -73.8785937)"
"hialeah, FL, USA","(25.8575963, -80.2781057)"
"moultrie, GA, USA","(31.179998, -83.7887928)"
"athens, GA, USA","(33.9597677, -83.376398)"
"lehigh acres, FL, USA","(26.6040585, -81.65813327163374)"
"pineville, NC, USA","(35.0855409, -80.8871253)"
"kingsport, TN, USA","(36.550238, -82.5594293)"
"staten island, NY, USA","(40.5834557, -74.1496048)"
"saint petersburg, FL, USA","(27.7700475, -82.6359078)"
"tallahassee, FL, USA","(30.4380832, -84.2809332)"
"charlotte, VT, USA","(44.3105141, -73.2531419)"
"amarillo, TX, USA","(35.2072185, -101.833824)"
"temple, TX, USA","(31.098207, -97.3427847)"
"parkland, FL, USA","(26.3100794, -80.23727)"
"broadview heights, OH, USA","(41.3139426, -81.6851271)"
"tacoma, WA, USA","(47.2455013, -122.438329)"
"west palm beach, FL, USA","(26.715364, -80.0532942)"
"cincinnati, OH, USA","(39.1014537, -84.5124602)"
"surprise, AZ, USA","(33.629247, -112.3681428)"
"shoreline, WA, USA","(47.7564667, -122.3437497)"
"yonkers, NY, USA","(40.9312099, -73.8987469)"
"pasadena, CA, USA","(34.1476507, -118.144155)"
"kingwood, TX, USA","(30.0497077, -95.1846301)"
"sachse, TX, USA","(32.9762327, -96.5952703)"
"helotes, TX, USA","(29.5635688, -98.6884208)"
"south pasadena, FL, USA","(27.7550276, -82.7376009)"
"oakland, CA, USA","(37.8044557, -122.271356)"
"buffalo, NY, USA","(42.8867166, -78.8783922)"
"bryan, TX, USA","(30.6743643, -96.3699632)"
"peoria, AZ, USA","(33.5806115, -112.237294)"
"san marino, CA, USA","(34.1215947, -118.105739)"
"sterling heights, MI, USA","(42.5803122, -83.0302033)"
"binghamton, NY, USA","(42.098698, -75.9125187)"
"olmsted falls, OH, USA","(41.375049, -81.9081937)"
"west hollywood, CA, USA","(34.0923014, -118.3692894)"
"pensacola, FL, USA","(30.421309, -87.2169149)"
"palmetto bay, FL, USA","(25.6217715, -80.3247748)"
"little neck, NY, USA","(40.7745338, -73.7412564)"
"kirkland, WA, USA","(47.6765382, -122.2070775)"
"mercer island, WA, USA","(47.5602073, -122.22014226861951)"
"goodyear, AZ, USA","(33.4073522, -112.39348)"
"riverside, CA, USA","(33.7219991, -116.0372472)"
"litchfield park, AZ, USA","(33.4933796, -112.358124)"
"bethesda, MD, USA","(38.98127255, -77.12335871396549)"
"memphis, TN, USA","(35.1460249, -90.0517638)"
"watersound, FL, USA","(30.28815, -86.0452972)"
"round rock, TX, USA","(30.5085915, -97.6788056)"
"denver, CO, USA","(39.7392364, -104.984862)"
"madeira beach, FL, USA","(27.7980814, -82.7973247)"
"navasota, TX, USA","(30.3885033, -96.0880028)"
"longmont, CO, USA","(40.1672117, -105.101928)"
"cleveland, TX, USA","(30.3414794, -95.0900115)"
"winston salem, NC, USA","(36.0998131, -80.2440518)"
"escondido, CA, USA","(33.1216751, -117.0814849)"
"miramar, FL, USA","(25.9873137, -80.2322706)"
"asheville, NC, USA","(35.595363, -82.5508407)"
"san diego, CA, USA","(32.7174202, -117.162772)"
"richmond, TX, USA","(29.5821811, -95.7607832)"
"clarksville, TN, USA","(36.5277607, -87.3588703)"
"hixson, TN, USA","(35.1414606, -85.1746774)"
"brooksville, FL, USA","(28.5552719, -82.3878709)"
"monterey park, CA, USA","(34.051522, -118.129807)"
"moreno valley, CA, USA","(33.937517, -117.2305944)"
"lacey, WA, USA","(47.0263876, -122.8072257)"
"boston, MA, USA","(42.3554334, -71.060511)"
"forest hills, NY, USA","(40.723100900000006, -73.84661252338407)"
"hastings, MI, USA","(42.6458683, -85.2908404)"
"long island city, NY, USA","(40.7415095, -73.9569751)"
"murrieta, CA, USA","(33.560832, -117.210656)"
"kirby, TX, USA","(29.4613454, -98.3857901)"
"olympia, WA, USA","(47.0451022, -122.8950075)"
"pinecrest, FL, USA","(25.6670476, -80.3081074)"
"anaheim, CA, USA","(33.8347516, -117.911732)"
"lakewood, CO, USA","(39.7085736, -105.0846694)"
"bothell, WA, USA","(47.7623204, -122.2054035)"
"sarasota, FL, USA","(27.3365805, -82.5308545)"
"ringgold, GA, USA","(34.91591, -85.1091173)"
"raleigh, NC, USA","(35.7803977, -78.6390989)"
"long beach, CA, USA","(33.7690164, -118.191604)"
"vancouver, WA, USA","(45.6306954, -122.6744557)"
"wilmington, NC, USA","(34.2257282, -77.9447107)"
"wesley chapel, NC, USA","(35.0070935, -80.6745131)"
"springfield, IL, USA","(39.7990175, -89.6439575)"
"rotonda west, FL, USA","(26.879438999999998, -82.28068480902428)"
"south ozone park, NY, USA","(40.6701035, -73.8190231)"
"aurora, CO, USA","(39.7405111, -104.830994)"
"sun valley, CA, USA","(34.2204227, -118.3878945)"
"la jolla, CA, USA","(32.8401623, -117.2740777)"
"phoenix, AZ, USA","(33.4484367, -112.074141)"
"lake balboa, CA, USA","(34.1938237, -118.5010456)"
"santa clarita, CA, USA","(34.4127963, -118.5538088)"
"knoxville, TN, USA","(35.9603948, -83.9210261)"
"dania beach, FL, USA","(26.0538446, -80.15739450762361)"
"ashville, OH, USA","(39.7156186, -82.9529584)"
"pompano beach, FL, USA","(26.2378597, -80.1247667)"
"league city, TX, USA","(29.5074538, -95.0949303)"
"converse, TX, USA","(29.5180081, -98.3161241)"
"tamarac, FL, USA","(26.2048464, -80.27080479659301)"
"irvine, CA, USA","(33.6856969, -117.825981)"
"tujunga, CA, USA","(34.252225, -118.2884105)"
"palm bay, FL, USA","(27.9946969, -80.6366144)"
"reddick, FL, USA","(29.3666393, -82.1973184)"
"chatsworth, CA, USA","(34.2595715, -118.6023247)"
"corpus christi, TX, USA","(27.7635302, -97.4033191)"
"yakima, WA, USA","(46.601557, -120.510842)"
"chino, CA, USA","(34.0133561, -117.690075)"
"garland, TX, USA","(32.912624, -96.6388833)"
"shaker heights, OH, USA","(41.4739419, -81.5370671)"
"fayetteville, NC, USA","(35.0525759, -78.878292)"
"babcock ranch, FL, USA","(26.7896062, -81.74602817653673)"
"salt lake city, UT, USA","(40.7596198, -111.886797)"
"tigard, OR, USA","(45.4307473, -122.771933)"
"longview, TX, USA","(32.5007031, -94.74049)"
"pottstown, PA, USA","(40.2452976, -75.6496424)"
"gastonia, NC, USA","(35.2622654, -81.1838186)"
"san francisco, CA, USA","(37.7792588, -122.4193286)"
"boulder, CO, USA","(40.0149856, -105.270545)"
"buckeye, AZ, USA","(33.3703197, -112.583776)"
"bellevue, WA, USA","(47.6144219, -122.192337)"
"vacaville, CA, USA","(38.3565773, -121.9877444)"
"macon, GA, USA","(32.8406946, -83.6324022)"
"south lyon, MI, USA","(42.451377, -83.659179)"
"university place, WA, USA","(47.2258172, -122.5371325)"
"cherryville, NC, USA","(35.3787442, -81.3789739)"
"santa ana, CA, USA","(33.7494951, -117.873221)"
"antioch, TN, USA","(36.0600602, -86.6722192)"
"west covina, CA, USA","(34.0686208, -117.9389526)"
"spring hill, FL, USA","(28.4635266, -82.5363557)"
"cleveland, TN, USA","(35.1595182, -84.8766115)"
"miami shores, FL, USA","(25.8631515, -80.1928253)"
"taylorsville, UT, USA","(40.6676347, -111.9388027)"
"bellingham, WA, USA","(48.7525309, -122.46083928000118)"
"st johns, FL, USA","(29.9032284, -81.4145468)"
"ventura, CA, USA","(34.4458248, -119.0779359)"
"laredo, TX, USA","(27.5056251, -99.5074517)"
"newport, NY, USA","(43.185904, -75.014648)"
"garfield heights, OH, USA","(41.4169974, -81.6059581)"
"capitol heights, MD, USA","(38.8849913, -76.9134765)"
"mount holly, NC, USA","(35.2976298, -81.0161686)"
"seven hills, OH, USA","(41.3953304, -81.6762392)"
"edinburg, TX, USA","(26.3013982, -98.1624501)"
"winnetka, CA, USA","(34.2013207, -118.5711037)"
"midland, TX, USA","(31.83688, -102.0103767)"
"hollywood park, TX, USA","(29.6005047, -98.48724)"
"roanoke, TX, USA","(33.0040126, -97.2258483)"
"concord, NC, USA","(35.4094178, -80.5800049)"
"allentown, PA, USA","(40.6022059, -75.4712794)"
"lakeland, FL, USA","(28.0394654, -81.9498042)"
"ferndale, MI, USA","(42.4605917, -83.1346478)"
"lake worth, TX, USA","(32.8048507, -97.44502)"
"clinton, MD, USA","(38.7651145, -76.8983059)"
"gainesville, FL, USA","(29.6519684, -82.3249846)"
"cutler bay, FL, USA","(25.5783, -80.3377)"
"strongsville, OH, USA","(41.3144733, -81.83511)"
"roseville, CA, USA","(38.7521235, -121.2880059)"
"cottonwood heights, UT, USA","(40.613474, -111.8256464)"
"reunion, FL, USA","(28.2803414, -81.6080704)"
"arleta, CA, USA","(34.2413266, -118.4322047)"
"south euclid, OH, USA","(41.5231076, -81.5184553)"
"arlington, VA, USA","(38.8769326, -77.0893094)"
"franklin, TN, USA","(35.1680139, -86.1084401)"
"joelton, TN, USA","(36.3131076, -86.8652772)"
"commerce city, CO, USA","(39.8083196, -104.9338675)"
"lackawanna, NY, USA","(42.8257735, -78.823648)"
"sunrise, FL, USA","(26.1666888, -80.2787573)"
"punta gorda, FL, USA","(26.9351529, -82.0512058)"
"bonita springs, FL, USA","(26.339806, -81.7786972)"
"gainesville, GA, USA","(34.2978794, -83.8240663)"
"horizon city, TX, USA","(31.6926121, -106.207479)"
"syracuse, NY, USA","(43.0481221, -76.1474244)"
"brighton, CO, USA","(39.983721, -104.8110775)"
"chula vista, CA, USA","(32.6400541, -117.084195)"
"waco, TX, USA","(31.5491899, -97.1474628)"
"el cajon, CA, USA","(32.7947731, -116.962526)"
"oak park, MI, USA","(42.4595317, -83.1821445)"
"miami gardens, FL, USA","(25.9420377, -80.2456045)"
"everett, WA, USA","(47.9793437, -122.2127011)"
"thornton, IL, USA","(41.5725811, -87.6095281)"
"renton, WA, USA","(47.4799078, -122.2034496)"
"aventura, FL, USA","(25.9653698, -80.1428234)"
"victorville, CA, USA","(34.5361067, -117.2911565)"
"albion, MI, USA","(42.243097, -84.7530304)"
"auburn, WA, USA","(47.3075369, -122.2301808)"
"coral springs, FL, USA","(26.271192, -80.2706044)"
"happy valley, OR, USA","(45.428679, -122.497174)"
"richardson, TX, USA","(32.9481789, -96.7297206)"
"cleveland heights, OH, USA","(41.5200518, -81.556235)"
"southwest ranches, FL, USA","(26.0586543, -80.3381531)"
"fisher island, FL, USA","(25.7598373, -80.14003652640545)"
"hazard, KY, USA","(37.2489635, -83.1933893)"
"st pete beach, FL, USA","(27.7253065, -82.741212)"
"north richland hills, TX, USA","(32.8342952, -97.2289029)"
"saint louis, MO, USA","(38.6280278, -90.1910154)"
"university park, TX, USA","(32.8551267, -96.7919454)"
"los fresnos, TX, USA","(26.0714502, -97.4770792)"
"vista, CA, USA","(33.2021284, -117.2424787)"
"suitland, MD, USA","(38.850133799999995, -76.9256744274507)"
"chickamauga, GA, USA","(34.8711497, -85.2902472)"
"glendale, AZ, USA","(33.5386858, -112.185994)"
"irving, TX, USA","(32.8295183, -96.9442177)"
"norwalk, CA, USA","(33.9092802, -118.0849169)"
"denton, TX, USA","(33.1838787, -97.1413417)"
"fullerton, CA, USA","(33.8708215, -117.929416)"
"rialto, CA, USA","(34.1064001, -117.3703235)"
"belleair, FL, USA","(27.9358543, -82.8062139)"
"brentwood, TN, USA","(36.0325687, -86.7825235)"
"surfside, FL, USA","(25.8784285, -80.1256007)"
"lakewood, OH, USA","(41.4819932, -81.7981908)"
"doral, FL, USA","(25.8184725, -80.35396791309786)"
"weddington, NC, USA","(35.0223708, -80.7609035)"
"haslet, TX, USA","(32.9616819, -97.34048541765975)"
"fairfield, VA, USA","(37.8792991, -79.2894784)"
"downey, CA, USA","(33.9404441, -118.1292846)"
"bay harbor islands, FL, USA","(25.8875948, -80.1311564)"
"union gap, WA, USA","(46.5573492, -120.475063)"
"north bay village, FL, USA","(25.8462075, -80.1539351)"
"van nuys, CA, USA","(34.1866193, -118.4486675)"
"hendersonville, TN, USA","(36.3049177, -86.621443)"
"sunnyvale, CA, USA","(37.3688301, -122.036349)"
"north miami, FL, USA","(25.90560775, -80.17506955013091)"
"glendale, CA, USA","(34.1469416, -118.2478471)"
"milwaukee, WI, USA","(43.0349931, -87.922497)"
"colorado springs, CO, USA","(38.8339578, -104.825348)"
"lakewood, CA, USA","(33.8503463, -118.117191)"
"hermitage, TN, USA","(36.1961664, -86.6224959)"
"broomfield, CO, USA","(39.9403995, -105.05208)"
"chevy chase, MD, USA","(38.9942121, -77.0771572)"
"bratenahl, OH, USA","(41.5533732, -81.6043844)"
"bloomington, IN, USA","(39.1670396, -86.5342881)"
"rocky river, OH, USA","(41.4756031, -81.8393034)"
"murfreesboro, TN, USA","(35.8460396, -86.3921096)"
"jacksonville beach, FL, USA","(30.2946859, -81.3931396)"
"edgecliff village, TX, USA","(32.6576335, -97.3427945)"
"ooltewah, TN, USA","(35.0522068, -85.10265801288662)"
"leesburg, FL, USA","(28.810823, -81.8778582)"
"oceanside, CA, USA","(33.1958696, -117.3794834)"
"lancaster, OH, USA","(39.7136754, -82.5993294)"
"carrollton, TX, USA","(32.9537349, -96.8902816)"
"celebration, FL, USA","(28.319057, -81.5408702)"
"jurupa valley, CA, USA","(33.9798472, -117.4515754)"
"terrell hills, TX, USA","(29.4772556, -98.4464879)"
"woodhaven, NY, USA","(40.6892698, -73.8579131)"
"youngstown, OH, USA","(41.1035786, -80.6520161)"
"lubbock, TX, USA","(33.5855677, -101.8470215)"
"crystal lake, IL, USA","(42.2411344, -88.3161965)"
"west park, FL, USA","(25.984148949999998, -80.20246372532006)"
"circleville, OH, USA","(39.600618, -82.9460133)"
"huntley, IL, USA","(42.1722503, -88.42692)"
"mayfield heights, OH, USA","(41.5192189, -81.457896)"
"marina del rey, CA, USA","(33.9776848, -118.448647)"
"morriston, FL, USA","(29.281638, -82.4378804)"
"antioch, CA, USA","(38.0049214, -121.805789)"
"ashland city, TN, USA","(36.2742207, -87.0641699)"
"lakewood, NJ, USA","(40.0978929, -74.2176435)"
"cleveland, GA, USA","(34.5972449, -83.7633058)"
"puyallup, WA, USA","(47.1849009, -122.29214)"
"toledo, OH, USA","(41.6529143, -83.5378173)"
"tarzana, CA, USA","(34.1689262, -118.5365791)"
"wilton manors, FL, USA","(26.1603626, -80.138934)"
"sunny isles beach, FL, USA","(25.939003, -80.12553387219643)"
"redding, CA, USA","(40.5863563, -122.391675)"
"bremerton, WA, USA","(47.5653663, -122.6246836)"
"pearland, TX, USA","(29.5639758, -95.2864299)"
"high pt, NC, USA","(35.9556924, -80.0053176)"
"panama city, FL, USA","(30.1586518, -85.6602936)"
"brecksville, OH, USA","(41.3197763, -81.6267904)"
"vallejo, CA, USA","(38.1040864, -122.2566367)"
"bakersfield, CA, USA","(35.3738712, -119.019463)"
"bay village, OH, USA","(41.484996, -81.9208434)"
"lynnwood, WA, USA","(47.8278656, -122.3053932)"
"fairfield, CA, USA","(38.2493581, -122.039966)"
"brandon, FL, USA","(27.937801, -82.2859247)"
"loudonville, NY, USA","(42.7048009, -73.7548424)"
"sun city west, AZ, USA","(33.6657535, -112.35505216920794)"
"englewood, FL, USA","(26.9620053, -82.3525952)"
"thornton, CO, USA","(39.8695516, -104.985181)"
"huffman, TX, USA","(30.0271626, -95.0857627)"
"arcadia, FL, USA","(27.2158826, -81.8584164)"
"youngtown, AZ, USA","(33.5937302, -112.3033265)"
"dunwoody, GA, USA","(33.9463786, -84.3342686)"
"lyndhurst, OH, USA","(41.520052, -81.488732)"
"marysville, WA, USA","(48.0517429, -122.1768209)"
"north fort myers, FL, USA","(26.7107375, -81.81300645982603)"
"sandy springs, GA, USA","(33.9242688, -84.3785379)"
"iowa falls, IA, USA","(42.5207924, -93.2647595)"
"olmos park, TX, USA","(29.4788422, -98.4875173)"
"madison, TN, USA","(35.6055887, -88.852119)"
"la vergne, TN, USA","(36.0156178, -86.5819394)"
"venice, CA, USA","(33.995044, -118.4668875)"
"east pt, GA, USA","(33.6795531, -84.4393724)"
"gulfport, FL, USA","(27.7483613, -82.7034334)"
"kent, WA, USA","(47.3826903, -122.2270272)"
"nassau bay, TX, USA","(29.5446753, -95.0910413)"
"hampton, IA, USA","(42.7424776, -93.2080861)"
"savannah, GA, USA","(32.0790074, -81.0921335)"
"golden beach, FL, USA","(25.9650919, -80.1222671)"
"bellaire, TX, USA","(29.7057858, -95.4588299)"
"torrance, CA, USA","(33.8371392, -118.3413606)"
"greenville, NC, USA","(35.613224, -77.3724593)"
"fontana, CA, USA","(34.0922947, -117.43433)"
"suquamish, WA, USA","(47.7301145, -122.552989)"
"lake in the hills, IL, USA","(42.1816908, -88.3303618)"
"burbank, CA, USA","(34.1812089, -118.307201)"
"anderson, TX, USA","(31.7819242, -95.6258199)"
"olmsted township, OH, USA","(41.3767081, -81.94564929469483)"
"miami lakes, FL, USA","(25.9087056, -80.3086619)"
"beaumont, TX, USA","(30.0860459, -94.1018461)"
"rockford, IL, USA","(42.2713945, -89.093966)"
"pataskala, OH, USA","(39.9955726, -82.6742373)"
"evansville, IN, USA","(37.970495, -87.5715641)"
"conroe, TX, USA","(30.3118769, -95.4560512)"
"cary, NC, USA","(35.7882893, -78.7812081)"
"highland park, TX, USA","(32.8334607, -96.7919454)"
"lansing, MI, USA","(42.7337712, -84.5553805)"
"south miami, FL, USA","(25.707846699999997, -80.29563567682854)"
"huntersville, NC, USA","(35.4108278, -80.8429304)"
"lithopolis, OH, USA","(39.8028415, -82.8062848)"
"independence, MO, USA","(39.0924792, -94.4137923)"
"winter haven, FL, USA","(28.0222435, -81.7328568)"
"key biscayne, FL, USA","(25.6968351, -80.1635261)"
"suisun city, CA, USA","(38.24582825, -121.9722339894544)"
"treasure island, FL, USA","(27.7691937, -82.7689906)"
"englewood, CO, USA","(39.6482059, -104.9879641)"
"golden, CO, USA","(39.7546349, -105.22058)"
"woodland hills, CA, USA","(34.1684364, -118.6058382)"
"oakland park, FL, USA","(26.1723065, -80.1319893)"
"plano, TX, USA","(33.0136764, -96.6925096)"
"johnson city, TN, USA","(36.3134398, -82.3534728)"
"parma heights, OH, USA","(41.3914132, -81.7598257)"
"abilene, TX, USA","(32.44645, -99.7475905)"
"east cleveland, OH, USA","(41.5331066, -81.5790137)"
"cheektowaga, NY, USA","(42.9033917, -78.7547536)"
"westminster, CO, USA","(39.8366528, -105.0372046)"
"canal winchester, OH, USA","(39.8428215, -82.805646)"
"parma, OH, USA","(41.3822398, -81.7355692)"
"richmond hts, OH, USA","(41.552829, -81.510121)"
"crowley, TX, USA","(32.5782835, -97.3609829)"
"boyds, MD, USA","(39.1840886, -77.3122325)"
"hickory, NC, USA","(35.7333312, -81.3442915)"
"marshall, MI, USA","(42.2721367, -84.9642008)"
"harlingen, TX, USA","(26.1907543, -97.6960599)"
"fairview park, OH, USA","(41.4461727, -81.8526519)"
"beachwood, OH, USA","(41.464498, -81.508732)"
"hamtramck, MI, USA","(42.3928151, -83.0496438)"
"grand rapids, MI, USA","(42.9632425, -85.6678639)"
"grosse pointe farms, MI, USA","(42.4092038, -82.8918587)"
"statesville, NC, USA","(35.7826363, -80.8872959)"
"greensboro, NC, USA","(36.0726355, -79.7919754)"
"corryton, TN, USA","(36.1536937, -83.7824062)"
"signal mountain, TN, USA","(35.1223478, -85.3436973)"
"normandy park, WA, USA","(47.4351528, -122.339601)"
"albany, NY, USA","(42.6511674, -73.754968)"
"north las vegas, NV, USA","(36.2005843, -115.121584)"
"alamo heights, TX, USA","(29.4832264, -98.468455)"
"east elmhurst, NY, USA","(40.7612123, -73.8651358)"
"garfield hts, OH, USA","(41.4169974, -81.6059581)"
"summerfield, FL, USA","(29.0085924, -82.0348092)"
"richmond heights, OH, USA","(41.552829, -81.510121)"
"miami springs, FL, USA","(25.82184795, -80.2927081391561)"
"east boston, MA, USA","(42.3718183, -71.02815051029489)"
"elgin, IL, USA","(42.03726, -88.2810994)"
"little falls, NY, USA","(43.0434039, -74.8595958)"
"cordova, TN, USA","(35.1556451, -89.7761955)"
